0_ea-2a_1108_pdfa.pdf : [+] Le fichier est bénin, conversion en PDF/A effectuée.
0_ea-2a_1108.pdf : [*] Le fichier est suspect, conversion en PDF/A effectuée analyse complémentaire en cours...
2026-01-24 14:05:51-benign/02solp.pdf : [+] Le fichier est bénin, conversion en PDF/A effectuée.
2026-01-24 14:05:51-benign/3D_MarklandKlaschka_LMH_1_pdfa.pdf : [+] Le fichier est bénin, conversion en PDF/A effectuée.
2026-01-24 14:05:51-benign/3D_MarklandKlaschka_LMH_1.pdf : [*] Le fichier est suspect, conversion en PDF/A effectuée analyse complémentaire en cours...
2026-01-24 14:05:51-benign/3D_castle-3DPDF_pdfa.pdf : [+] Le fichier est bénin, conversion en PDF/A effectuée.
2026-01-24 14:05:51-benign/3D_castle-3DPDF.pdf : [*] Le fichier est suspect, conversion en PDF/A effectuée analyse complémentaire en cours...
2026-01-24 14:05:51-benign/3D_OSiCarrauntoohil.pdf : [+] Le fichier est bénin, conversion en PDF/A effectuée.
2026-01-24 14:05:51-benign/1-meredith-filak_pdfa.pdf : [!] Le fichier est malveillant, suppression en cours...
2026-01-24 14:05:51-benign/1-meredith-filak.pdf : [*] Le fichier est suspect, conversion en PDF/A effectuée analyse complémentaire en cours...
2026-01-24 14:05:52-benign/3D_embedded_pdf_sample.pdf : [+] Le fichier est bénin, conversion en PDF/A effectuée.
2026-01-24 14:05:52-benign/03herman.pdf : [!] Le fichier est malveillant, suppression en cours...
2026-01-24 14:05:52-benign/3-pablo-lecuona_pdfa.pdf : [+] Le fichier est bénin, conversion en PDF/A effectuée.
2026-01-24 14:05:52-benign/3-pablo-lecuona.pdf : [*] Le fichier est suspect, conversion en PDF/A effectuée analyse complémentaire en cours...
2026-01-24 14:05:54-benign/02govbnd_pdfa.pdf : [+] Le fichier est bénin, conversion en PDF/A effectuée.
2026-01-24 14:05:54-benign/02govbnd.pdf : [*] Le fichier est suspect, conversion en PDF/A effectuée analyse complémentaire en cours...
2026-01-24 14:05:56-benign/02eounrel_pdfa.pdf : [+] Le fichier est bénin, conversion en PDF/A effectuée.
2026-01-24 14:05:56-benign/02eounrel.pdf : [*] Le fichier est suspect, conversion en PDF/A effectuée analyse complémentaire en cours...
2026-01-24 14:05:56-benign/3D_Wooden_structures_training_manual.pdf : [!] Le fichier est malveillant, suppression en cours...
2026-01-24 14:05:58-benign/0_ea-2a_1108_pdfa.pdf : [+] Le fichier est bénin, conversion en PDF/A effectuée.
2026-01-24 14:05:58-benign/0_ea-2a_1108.pdf : [*] Le fichier est suspect, conversion en PDF/A effectuée analyse complémentaire en cours...
2026-01-24 14:05:58-benign/3D_statue_pdfa.pdf : [+] Le fichier est bénin, conversion en PDF/A effectuée.
2026-01-24 14:05:58-benign/3D_statue.pdf : [*] Le fichier est suspect, conversion en PDF/A effectuée analyse complémentaire en cours...
2026-01-24 14:05:58-benign/3D_CraneAnimationSequence.pdf : [!] Le fichier est malveillant, suppression en cours...
2026-01-24 14:05:58-benign/3D_BDP_Proposal.pdf : [!] Le fichier est malveillant, suppression en cours...
2026-01-24 14:05:58-benign/3_simple_steps.pdf : [!] Le fichier est malveillant, suppression en cours...
2026-01-24 14:05:58-benign/2-malini-aisola.pdf : [!] Le fichier est malveillant, suppression en cours...
2026-01-24 14:05:58-benign/3D_adesk_site-3d_pdfa.pdf : [+] Le fichier est bénin, conversion en PDF/A effectuée.
2026-01-24 14:05:58-benign/3D_adesk_site-3d.pdf : [*] Le fichier est suspect, conversion en PDF/A effectuée analyse complémentaire en cours...
2026-01-24 14:05:58-benign/3D_ch2mhill_pump_station_3_pdfa.pdf : [+] Le fichier est bénin, conversion en PDF/A effectuée.
2026-01-24 14:05:58-benign/3D_ch2mhill_pump_station_3.pdf : [*] Le fichier est suspect, conversion en PDF/A effectuée analyse complémentaire en cours...
2026-01-24 14:06:01-benign/02frrltr_pdfa_pdfa.pdf : [+] Le fichier est bénin, conversion en PDF/A effectuée.
2026-01-24 14:06:01-benign/02frrltr_pdfa.pdf : [*] Le fichier est suspect, conversion en PDF/A effectuée analyse complémentaire en cours...
2026-01-24 14:06:01-benign/02frrltr.pdf : [*] Le fichier est suspect, conversion en PDF/A effectuée analyse complémentaire en cours...
2026-01-24 14:06:02-benign/4-brad-huther.pdf : [+] Le fichier est bénin, conversion en PDF/A effectuée.
2026-01-24 14:14:54 - 0_ea-2a_1108_pdfa_pdfa_pdfa.pdf : [#] Le fichier a déjà été converti plusieurs fois en PDF/A, arrêt de la pipeline pour éviter une boucle infinie. 
 Le fichier est déplacé dans le dossier suspect_files.
